Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",1672406,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Money In The Grave (Drake ft. Rick Ross)",Drake,1600050,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
3,Panini,"Lil Nas X",1591941,https://open.spotify.com/track/2pmhboG1a2XfDiTvMwO8sd
4,"bad guy","Billie Eilish",1133479,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",1094226,https://open.spotify.com/track/4O4HtthxTvVL1Z1PuDb7GX
6,"You Need To Calm Down","Taylor Swift",956869,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
7,Rodeo,"Lil Nas X",953461,https://open.spotify.com/track/5MWOSsgPDm3aPvAHWghxxG
8,"Truth Hurts",Lizzo,937683,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
9,Ransom,"Lil Tecca",933392,https://open.spotify.com/track/1xbtojAZsQjOgiGdGX6ChU
10,"The London (feat. J. Cole & Travis Scott)","Young Thug",931042,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
11,"I Don't Care (with Justin Bieber)","Ed Sheeran",918413,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
12,Suge,DaBaby,863674,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",824239,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,EARFQUAKE,"Tyler, The Creator",798845,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
15,"No Guidance (feat. Drake)","Chris Brown",755574,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
16,"Pop Out (feat. Lil Tjay)","Polo G",747226,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
17,Talk,Khalid,686783,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
18,"Never Really Over","Katy Perry",675600,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
19,"If I Can't Have You","Shawn Mendes",617503,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
20,"Go Loko (feat. Tyga, Jon Z)",YG,599878,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
21,Wow.,"Post Malone",592898,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
22,Sucker,"Jonas Brothers",587638,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
23,"One Thing Right - feat. Kane Brown",Marshmello,583672,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
